Title	Season	Producer	Singer	Date	Dislike	Like	View	URL	LD-Ratio
Afreen Afreen	9	Strings	"Rahet Fateh Ali Khan, Momina Mustehsan"	" Aug 19, 2016"	"60,627"	"1,302,036"	"206,743,927 views"	https://www.youtube.com/watch?v=kw4tT7SCmaY	0.046563229
Baliye (Laung Gawacha)	9	Strings	"QB, Haroon Shahid"	" Aug 19, 2016"	"3,794"	"57,769"	"11,973,902 views"	https://www.youtube.com/watch?v=xhgt47nvZUQ	0.065675362
Man Kuntu Maula	9	Strings	"Ali Azmat, Javed Bashir"	" Aug 19, 2016"	"1,182"	"25,632"	"4,244,757 views"	https://www.youtube.com/watch?v=6XcMiqJGkQE	0.046114232
Khaki Banda	9	Strings	"Ahmed Jahanzeb, Umair Jaswal"	" Aug 26, 2016"	883	"29,919"	"3,326,204 views"	https://www.youtube.com/watch?v=YahQn3RJMAg	0.029513018
Dilruba Na Raazi	9	Strings	"Zeb,Faakhir Mehmood"	" Aug 26, 2016"	"3,586"	"63,221"	"10,573,101 views"	https://www.youtube.com/watch?v=ReY3YSltJek	0.056721659
Tu Hi Tu	9	Strings	"Mehwish Hayat, Shiraz Uppal"	" Aug 26, 2016"	"2,727"	"45,854"	"8,106,641 views"	https://www.youtube.com/watch?v=3pPUJE76V1s	0.059471366
Maula-e-Kull	9	Strings	Abida Parveen	" Aug 26, 2016"	"2,003"	"38,380"	"6,748,511 views"	https://www.youtube.com/watch?v=GoJ9EO9CTZk	0.05218864
Uddi Ja	9	Strings	Mohsin Abbas Haider	" Sep 2, 2016"	"2,015"	"62,320"	"9,457,058 views"	https://www.youtube.com/watch?v=-Nbm1vFsr7Q	0.032333119
Aaya Lariye	9	Strings	"Meesha Shafi, Naeem Abbas Rufi"	" Sep 2, 2016"	"4,006"	"72,663"	"13,549,725 views"	https://www.youtube.com/watch?v=zVnbojCYPxU	0.055131222
Paar Chanaa De	9	Strings	"Noori, Shilpa Rao"	" Sep 2, 2016"	"2,439"	"73,911"	"11,687,462 views"	https://www.youtube.com/watch?v=TrPvQvbp3Cg	0.032999148
Ala Baali	9	Strings	"Nirmal Roy, Jabar Abbas"	" Sep 2, 2016"	"1,141"	"35,930"	"4,646,792 views"	https://www.youtube.com/watch?v=guFLjEsg1kc	0.031756193
Main Raasta 	9	Strings	"Momina Mustehsan, Junaid Khan"	" Sep 9, 2016"	"3,387"	"49,033"	"10,505,347 views"	https://www.youtube.com/watch?v=RZqdWW4spXA	0.069075928
Shamaan Pai Gaiyaan/Kee Dam Da Bharosa	9	Strings	"Kashif Ali, Rachel Viccaji"	" Sep 9, 2016"	"2,917"	"66,654"	"14,261,047 views"	https://www.youtube.com/watch?v=7z1rf2kzEkc	0.043763315
Sadaaa	9	Strings	Rahet Fateh Ali Khan	" Sep 9, 2016"	346	"5,253"	"993,281 views"	https://www.youtube.com/watch?v=sj8Tl9id9O0	0.065867124
Jhalliya	9	Strings	"Javed Bashir,Masooma Anwar, Shahzad Nawaz"	" Sep 9, 2016"	921	"22,788"	"6,222,677 views"	https://www.youtube.com/watch?v=_ffgSc2c5F0	0.040416008
Meri Meri	9	Strings	"Sara Haider, Rizwan Butt"	" Sep 16, 2016"	"1,118"	"11,821"	"1,970,210 views"	https://www.youtube.com/watch?v=BBSE4dA4aLg	0.094577447
Tera Who Pyar	9	Strings	"Asim Azhar, Momina Mustehsan"	" Sep 16, 2016"	"24,084"	"606,422"	"105,600,528 views"	https://www.youtube.com/watch?v=8367ETnagHo	0.039714918
Anokha Laadla	9	Strings	"Basit Ali, Damia Farooq"	" Sep 16, 2016"	340	"5,818"	"843,556 views"	https://www.youtube.com/watch?v=TWCkfhEHdZY	0.058439326
Lagi Bina/Chal Mele Noon Challiye	9	Strings	"Saieen Zahoor, Sanam Marvi"	" Sep 16, 2016"	"6,255"	"115,276"	"17,611,889 views"	https://www.youtube.com/watch?v=I3tS2oTUvHI	0.054261078
Sab Jag Soye	9	Strings	"QB, Shuja Haider"	" Sep 23, 2016"	"1,458"	"42,822"	"6,714,588 views"	https://www.youtube.com/watch?v=qLv4msFH35Y	0.034047919
Tu Kuja Man Kuja	9	Strings	"Rafaqat Ali Khan, Shiraz Uppal"	" Sep 23, 2016"	"29,353"	"401,879"	"59,451,368 views"	https://www.youtube.com/watch?v=ZQMn5wIoAno	0.073039397
Nimma Nimma	9	Strings	Shani Arshad	" Sep 23, 2016"	195	"8,529"	"848,337 views"	https://www.youtube.com/watch?v=9AQIcILiGlA	0.022863173
O Re	9	Strings	Noori	" Sep 23, 2016"	340	"11,779"	"1,570,747 views"	https://www.youtube.com/watch?v=Z3CT6cKL_0g	0.028864929
Dil Kamla	9	Strings	"Natasha Khan, Faakhir Mehmood"	" Sep 23, 2016"	327	"9,578"	"1,317,541 views"	https://www.youtube.com/watch?v=Vr3513pHZkU	0.034140739
Rang 	9	Strings	"Rahet Fateh Ali Khan, Amjad Sabri"	" Sep 23, 2016"	"7,831"	"127,474"	"22,737,597 views"	https://www.youtube.com/watch?v=Uks8psEpmB4	0.061432135
The National Anthem	10	Strings	All	" Aug 4, 2017"	"3,859"	"65,030"	"3,698,894 views"	https://www.youtube.com/watch?v=WZEqW6AXhR4	0.059341842
Allahu Akbar	10	Strings	"Ahmed Jahanzeb, Shafqat Amanat Ali"	" Aug 11, 2017"	"3,513"	"104,764"	"9,197,892 views"	https://www.youtube.com/watch?v=oJaO4JdFWB8	0.033532511
Chaa Rahi Kaali Ghata	10	Strings	"Hina Nasrullah, Amanat Ali"	" Aug 11, 2017"	719	"22,982"	"1,755,640 views"	https://www.youtube.com/watch?v=IchaTgzimuU	0.031285354
Muntazir	10	Strings	"Danyal Zafar, Momina Mustehsan"	" Aug 11, 2017"	"7,372"	"102,451"	"12,339,039 views"	https://www.youtube.com/watch?v=cs9ORHI8o38	0.07195635
Ranjish Hi Sahi	10	Strings	Ali Sethi	" Aug 11, 2017"	"2,677"	"82,029"	"9,136,611 views"	https://www.youtube.com/watch?v=pba_YmWDAIU	0.0326348
Tinak Dhin	10	Strings	"Ali Sethi, Ali Hamza, Waqar Ehsin"	" Aug 18, 2017"	"1,981"	"50,526"	"6,144,548 views"	https://www.youtube.com/watch?v=n3-qSfoJ7IM	0.039207537
Sayonee	10	Strings	"Rahet Fateh Ali Khan, Ali Noor, Salman Ahmed"	" Aug 18, 2017"	"6,925"	"50,224"	"5,284,544 views"	https://www.youtube.com/watch?v=Ciim7-hZPb0	0.137882287
Faasle	10	Strings	"Kaavish,QB"	" Aug 18, 2017"	"1,362"	"44,683"	"4,603,597 views"	https://www.youtube.com/watch?v=9sekgEXGm-E	0.030481391
Jaan-e-Bahaaraan	10	Strings	Ali Zafar	" Aug 18, 2017"	"2,022"	"39,500"	"3,626,575 views"	https://www.youtube.com/watch?v=BTf68TSLGH4	0.051189873
Laal Meri	10	Strings	"QB,Akbar Ali, Arieb Azhar"	" Aug 25, 2017"	"3,499"	"47,580"	"4,377,539 views"	https://www.youtube.com/watch?v=eoz9gr9QYes	0.073539302
Ronay Na Diya	10	Strings	"Sajjad Ali, Zaw Ali"	" Aug 25, 2017"	"1,640"	"42,079"	"4,421,000 views"	https://www.youtube.com/watch?v=djOfU3kqJYI	0.03897431
Baazi	10	Strings	"Sahir Ali Bagga, Aima Baig"	" Aug 25, 2017"	"10,161"	"173,447"	"26,724,330 views"	https://www.youtube.com/watch?v=ZYzUKdDunyI	0.058582737
Mujh Se Pehli Si Muhabaat	10	Strings	"Humera Channa, Nabeel Shaukat"	" Aug 25, 2017"	"1,348"	"44,398"	"3,984,433 views"	https://www.youtube.com/watch?v=XLPv-_MBFC8	0.030361728
Naina Moray	10	Strings	"Javed Bashir, Akbar Ali, Aamir Zaki"	" Sep 1, 2017"	714	"25,719"	"1,918,907 views"	https://www.youtube.com/watch?v=q90zq1-heR4	0.027761577
Dekh Tera Kya/Latthay di Chaadar	10	Strings	"QB, Farhan Saeed"	" Sep 1, 2017"	"6,533"	"152,500"	"19,430,495 views"	https://www.youtube.com/watch?v=SCOKysMnH50	0.042839344
Julie	10	Strings	"Ali Zafar, Danyal Zafar"	" Sep 1, 2017"	"2,413"	"29,471"	"2,592,556 views"	https://www.youtube.com/watch?v=-vykUa1Cg34	0.0818771
Jindjaani	10	Strings	"Ali Hamza, Nirmal Roy"	" Sep 1, 2017"	514	"12,712"	"1,743,678 views"	https://www.youtube.com/watch?v=SeY7qcK8d-s	0.040434235
Sab Maya Hai	10	Strings	"Attaullah Khan Esakhelvi,Sanwal Esakhelvi"	" Sep 8, 2017"	"3,926"	"78,810"	"10,814,126 views"	https://www.youtube.com/watch?v=TzdMLhGOIhA	0.049816013
Rangrez	10	Strings	Rahet Fateh Ali Khan	" Sep 8, 2017"	649	"18,373"	"1,830,065 views"	https://www.youtube.com/watch?v=wtmN3kzq7NU	0.035323573
Ujaalon Mein	10	Strings	"Faraz Anwer, Faiza Mujahid"	" Sep 8, 2017"	384	"6,911"	"658,401 views"	https://www.youtube.com/watch?v=g0Q3jV5kcT0	0.055563594
Bol	10	Strings	Shafqat Amanat Ali	" Sep 8, 2017"	388	"9,945"	"798,095 views"	https://www.youtube.com/watch?v=9FwoR8mh8T0	0.03901458
Dam Mast Qalandar	10	Strings	"Umair Jaswal, Jabar Abbas"	" Sep 15, 2017"	"1,567"	"28,195"	"2,666,529 views"	https://www.youtube.com/watch?v=Gar-Vw9UzVs	0.05557723
Yo Soch	10	Strings	"Ali Zafar, Natasha Khan"	" Sep 15, 2017"	737	"10,975"	"959,300 views"	https://www.youtube.com/watch?v=81nBrZdJ6ak	0.06715262
Kaatey Na Katay	10	Strings	"Aima Baig, Humera Arshad, Rachel Viccaji"	" Sep 15, 2017"	"1,447"	"31,268"	"3,322,263 views"	https://www.youtube.com/watch?v=a2IK6XfdYss	0.046277344
Ghoom Taana	10	Strings	"Momina Mustehsan,Irteassh"	" Sep 15, 2017"	"1,405"	"21,872"	"2,314,770 views"	https://www.youtube.com/watch?v=DngeAcpK6LI	0.064237381
Tera Naam	10	Strings	Sajjad Ali	" Sep 21, 2017"	"1,517"	"29,539"	"2,873,137 views"	https://www.youtube.com/watch?v=NP_D2mAYMjo	0.051355835
Baanware	10	Strings	"Shuja Haider, Aima Baig"	" Sep 21, 2017"	"1,374"	"39,249"	"4,234,474 views"	https://www.youtube.com/watch?v=PePGHi6IeZQ	0.035007261
Maula Tera Noor	10	Strings	Shafqat Amanat Ali	" Sep 21, 2017"	714	"24,759"	"1,826,724 views"	https://www.youtube.com/watch?v=p3D-oqGdW9o	0.028837998
Us Rah Par	10	Strings	"Ali Hamza, Ali Zafar, Strings"	" Sep 21, 2017"	"2,782"	"43,116"	"4,042,412 views"	https://www.youtube.com/watch?v=HpfrSzRgWhs	0.064523611
Colors	11	"Ali Hamza, Zohaib Kazi"	"QB, Jason Derulo"	" Jun 20, 2018"	"3,074"	"29,507"	"2,319,078 views"	https://www.youtube.com/watch?v=m_O1DU1fpN8	0.104178669
Faqeera	11	"Ali Hamza, Zohaib Kazi"	"Shamu Bai, Vishnu"	" Jul 5, 2018"	763	"21,169"	"1,860,246 views"	https://www.youtube.com/watch?v=jX_RfuKGJp0	0.036043271
Naseebaya	11	"Ali Hamza, Zohaib Kazi"	"Mangal,Darehan,Shayan"	" Jul 7, 2018"	326	"7,880"	"650,270 views"	https://www.youtube.com/watch?v=OI0cr0Z-M5M	0.041370558
Pareek	11	"Ali Hamza, Zohaib Kazi"	"Ariana,Amrina"	" Jul 3, 2018"	763	"31,936"	"2,051,636 views"	https://www.youtube.com/watch?v=8Pvs8X8wvIU	0.023891533
Tere Bin Soona	11	"Ali Hamza, Zohaib Kazi"	Mishal Khawaja	" Jul 9, 2018"	"2,551"	"9,416"	"593,618 views"	https://www.youtube.com/watch?v=iXxrZMJGE7c	0.270921835
Ha Gulo	11	"Ali Hamza, Zohaib Kazi"	Qasamir	" Jul 11, 2018"	852	"22,185"	"1,206,336 views"	https://www.youtube.com/watch?v=EnChosxHmUw	0.038404327
Hum Dekhenge	11	"Ali Hamza, Zohaib Kazi"	All	" Jul 22, 2018"	"3,952"	"82,026"	"7,191,119 views"	https://www.youtube.com/watch?v=unOqa2tnzSM	0.048179845
Shikwa/Jawab-e-Shikwa	11	"Ali Hamza, Zohaib Kazi"	"Fareed Ayaz, Abu Muhammad, Natasha Baig"	" Aug 10, 2018"	"7,260"	"122,125"	"8,088,927 views"	https://www.youtube.com/watch?v=LrCek73_e_M	0.059447288
Baalkada	11	"Ali Hamza, Zohaib Kazi"	"Naghma,Jimmy Khan"	" Aug 10, 2018"	"1,557"	"29,921"	"2,468,640 views"	https://www.youtube.com/watch?v=LOojBeYVhDQ	0.052037031
Rap hai Saara	11	"Ali Hamza, Zohaib Kazi"	"Lyari Undergroud, Young Desi"	" Aug 10, 2018"	"3,751"	"34,626"	"1,648,875 views"	https://www.youtube.com/watch?v=muvcga4UTYk	0.108329001
Main Irada	11	"Ali Hamza, Zohaib Kazi"	"Haniya,Rachel Viccaji,Shamu Bai,Ariana,Amrina"	" Aug 10, 2018"	"1,277"	"23,240"	"1,297,630 views"	https://www.youtube.com/watch?v=wbXUFGWVZxs	0.054948365
Runaway	11	"Ali Hamza, Zohaib Kazi"	"Krewella,Riaz Qadri,Ghulam Ali Qadri"	" Aug 17, 2018"	"1,650"	"45,139"	"2,698,793 views"	https://www.youtube.com/watch?v=Xg7YCffmwuM	0.036553756
Gaddiye	11	"Ali Hamza, Zohaib Kazi"	"Attaullah Khan Esakhelvi,Asrar"	" Aug 17, 2018"	"1,017"	"22,148"	"1,513,699 views"	https://www.youtube.com/watch?v=cRjhMv8tWyw	0.045918367
Rasha Mama	11	"Ali Hamza, Zohaib Kazi"	"Gul Panrra,Khumariyaan,Zarsanga"	" Aug 17, 2018"	"2,530"	"43,300"	"3,721,182 views"	https://www.youtube.com/watch?v=Y93vs3XFl-0	0.058429561
Ghoom Charakhra	11	"Ali Hamza, Zohaib Kazi"	"Abida Parveen, Ali Azmat"	" Aug 17, 2018"	"3,408"	"38,993"	"3,815,260 views"	https://www.youtube.com/watch?v=_FvMSp4BoL4	0.087400303
Roye Roye	11	"Ali Hamza, Zohaib Kazi"	"Sahir Ali Bagga, Momina Mustehsan"	" Aug 24, 2018"	"6,050"	"113,786"	"8,405,277 views"	https://www.youtube.com/watch?v=S33PzzeozpU	0.053169986
Allah Karesi	11	"Ali Hamza, Zohaib Kazi"	"Attaullah Khan Esakhelvi,Sanwal Esakhelvi"	" Aug 24, 2018"	734	"16,243"	"1,037,797 views"	https://www.youtube.com/watch?v=XcUgJA3_W6Q	0.045188697
Piya Ghar Aaya	11	"Ali Hamza, Zohaib Kazi"	"Fareed Ayaz, Abu Muhammad"	" Aug 24, 2018"	"1,812"	"43,682"	"3,190,134 views"	https://www.youtube.com/watch?v=WzlO79d3S8c	0.041481617
Aatish	11	"Ali Hamza, Zohaib Kazi"	"Shuja Haider, Aima Baig"	" Aug 31, 2018"	"4,113"	"45,577"	"4,471,926 views"	https://www.youtube.com/watch?v=J5fHX8iNggs	0.090242886
Nami Danam	11	"Ali Hamza, Zohaib Kazi"	Chand Tara Orchestra	" Aug 31, 2018"	"1,533"	"6,673"	"446,263 views"	https://www.youtube.com/watch?v=N1UCViygC1Q	0.229731755
Mahi Aaja	11	"Ali Hamza, Zohaib Kazi"	"Asim Azhar, Momina Mustehsan"	" Aug 31, 2018"	"6,808"	"92,505"	"6,545,423 views"	https://www.youtube.com/watch?v=s05KLrFhuM4	0.073596022
Malang	11	"Ali Hamza, Zohaib Kazi"	"Sahir Ali Bagga,Aima Baig"	" Sep 7, 2018"	"5,307"	"140,500"	"10,758,911 views"	https://www.youtube.com/watch?v=OPkfKQpJKXA	0.037772242
Dastaan-e-Moomal Rano	11	"Ali Hamza, Zohaib Kazi"	The Sketches	" Sep 7, 2018"	395	"10,438"	"516,338 views"	https://www.youtube.com/watch?v=Ou7qlUM6cb8	0.037842499
Dil Hai Pakistani	11	"Ali Hamza, Zohaib Kazi"	"Ali Azmat,Mangal,Darehan,Shayan"	" Sep 7, 2018"	"1,583"	"10,183"	"591,353 views"	https://www.youtube.com/watch?v=LyN8qovdMd0	0.15545517
Ilallah	11	"Ali Hamza, Zohaib Kazi"	Sounds of Kolachi	" Sep 28, 2018"	501	"23,753"	"1,112,131 views"	https://www.youtube.com/watch?v=3CJQGf7ldZU	0.021092073
Hawa Hawa	11	"Ali Hamza, Zohaib Kazi"	"Gul Panrra, Hassan Jahangir"	" Sep 28, 2018"	"5,647"	"70,225"	"5,870,625 views"	https://www.youtube.com/watch?v=w3s8cjG2WYY	0.080412958
Tere Liye	11	"Ali Hamza, Zohaib Kazi"	"Riaz Qadri,Ghulam Ali Qadri,Ali Azmat"	" Sep 28, 2018"	679	"6,970"	"458,268 views"	https://www.youtube.com/watch?v=eQWzCREt-Xo	0.097417504
Jind Mahiya	11	"Ali Hamza, Zohaib Kazi"	Shuja Haider	" Oct 5, 2018"	577	"24,203"	"1,075,723 views"	https://www.youtube.com/watch?v=bUOArq33ImM	0.02384002
Ballay Ballay	11	"Ali Hamza, Zohaib Kazi"	"Abrar-ul-Haq,Aima Baig"	" Oct 5, 2018"	"3,417"	"57,616"	"4,321,362 views"	https://www.youtube.com/watch?v=gK-eU6QFEnM	0.059306443
Ya Qurban	11	"Ali Hamza, Zohaib Kazi"	Khumariyaan	" Oct 5, 2018"	"1,011"	"35,297"	"2,144,648 views"	https://www.youtube.com/watch?v=_YnjQ3MjuPg	0.028642661
Balaghal Ula Be Kamalihi	11	"Ali Hamza, Zohaib Kazi"	Abida Parveen	" Oct 5, 2018"	618	"25,984"	"1,130,494 views"	https://www.youtube.com/watch?v=dYPWLlfD05Q	0.023783867
Wah Jo Kalaam	11	"Ali Hamza, Zohaib Kazi"	"Asrar,Shamu Bai, Vishnu"	" Oct 12, 2018"	311	"12,787"	"491,867 views"	https://www.youtube.com/watch?v=SBxEvrorLf4	0.024321577
Luddi Hai Jamalo	11	"Ali Hamza, Zohaib Kazi"	"Humaira Arshad, Ali Sethi"	" Oct 12, 2018"	"3,781"	"31,507"	"3,370,974 views"	https://www.youtube.com/watch?v=klEYnZjf66s	0.120005078
Apna Gham	11	"Ali Hamza, Zohaib Kazi"	"Bilal Khan,Mishal Khawaja"	" Oct 12, 2018"	775	"18,177"	"741,920 views"	https://www.youtube.com/watch?v=cZnRhEQJoCk	0.042636299
Dildar Sadqay	11	"Ali Hamza, Zohaib Kazi"	"Jawad Ahmad,Elizabeth Rai"	" Oct 19, 2018"	846	"21,868"	"1,251,564 views"	https://www.youtube.com/watch?v=oGp_eDrxLKQ	0.038686665
Aurangzeb	11	"Ali Hamza, Zohaib Kazi"	Mughal-e-Funk	" Oct 19, 2018"	393	"3,374"	"162,792 views"	https://www.youtube.com/watch?v=f-2B6gKGoxo	0.116478957
Ko Ko Korina	11	"Ali Hamza, Zohaib Kazi"	"Ahad Raza Mir, Momina Mustehsan"	" Oct 19, 2018"	"155,113"	"54,068"	"2,980,047 views"	https://www.youtube.com/watch?v=O6WMef5erS8	2.868850337
